digit,M_connections,N_axons,T,N_positive_samples,Accuracy LR,Accuracy FF,Accuracy IF,Accuracy baseline,release probability,train_epochs,test_epochs
7,5,100,60,7000,96.81,94.44,89.72,89.72,1.0,1,1
6,5,100,60,7000,96.85000000000001,94.71000000000001,90.42,90.42,1.0,1,1
3,5,100,30,16,90.24666666666667,89.93666666666667,89.99666666666667,89.9,0.5,15,3
7,5,100,60,7000,96.73,94.61,89.74,89.72,1.0,1,1
4,5,100,10,5000,95.35,92.55,91.36999999999999,90.18,1.0,15,3
2,5,100,10,5000,96.16,94.22,92.02,89.68,1.0,15,3
5,5,100,10,5000,94.0,91.21000000000001,91.09,91.08000000000001,1.0,15,3
2,5,100,20,32,91.47333333333333,91.56333333333333,90.93,89.68,0.5,15,3
8,5,100,20,7000,92.85,90.62,90.25999999999999,90.25999999999999,1.0,1,1
4,1,100,10,2048,95.25,91.14,91.4,90.18,1.0,15,3
3,8,100,20,2048,94.44666666666667,92.47,90.45333333333333,89.9,0.5,15,3
3,1,100,10,1024,94.29333333333332,90.12,90.64,89.9,0.5,15,3
2,5,100,60,7000,95.41,94.02000000000001,89.68,89.68,1.0,1,1
1,5,100,60,7000,97.86,94.0,88.64999999999999,88.64999999999999,1.0,1,1
3,5,100,40,5000,95.14,93.63,89.95,89.9,1.0,1,1
3,1,100,20,5000,94.98,90.59,90.67,89.9,1.0,1,1
8,5,100,100,5000,92.92,90.57,90.25999999999999,90.25999999999999,1.0,1,1
0,10,100,50,16,92.9,90.20333333333333,90.2,90.2,0.75,15,3
7,5,100,80,5000,96.91,94.04,89.72,89.72,1.0,15,3
5,5,100,10,7000,93.5,91.18,91.09,91.08000000000001,1.0,1,1
4,1,100,30,4096,95.07,90.77,90.49000000000001,90.18,1.0,15,3
2,5,100,20,16,89.8,90.38666666666667,89.88666666666667,89.68,0.5,15,3
9,5,100,100,5000,92.78,91.71000000000001,89.91,89.91,1.0,15,3
2,5,100,50,5000,95.17999999999999,94.28999999999999,89.78,89.68,1.0,1,1
1,5,100,50,7000,97.78,94.39999999999999,88.64999999999999,88.64999999999999,1.0,1,1
3,8,100,20,2048,94.51333333333334,92.42,90.63333333333333,89.9,0.5,15,3
7,2,100,20,2048,96.36,93.0,90.48,89.72,0.5,15,3
2,5,100,40,1024,95.27,94.95,90.69,89.68,1.0,15,3
0,5,100,80,5000,97.87,92.15,90.2,90.2,1.0,1,1
3,2,100,50,2048,95.12,92.11,89.92999999999999,89.9,1.0,15,3
5,5,100,10,5000,93.71000000000001,91.21000000000001,91.08000000000001,91.08000000000001,1.0,15,3
4,5,100,10,512,94.96,91.72,91.09,90.18,1.0,15,3
7,5,100,60,5000,96.84,94.92,89.72,89.72,1.0,15,3
8,5,100,20,7000,93.06,90.92,90.25999999999999,90.25999999999999,1.0,1,1
6,5,100,20,5000,96.97,94.48,90.42,90.42,1.0,15,3
6,5,100,10,7000,96.84,92.51,90.42,90.42,1.0,1,1
4,2,100,30,2048,94.89,91.86999999999999,90.56,90.18,1.0,15,3
3,2,100,20,2048,94.64666666666666,91.57,90.72666666666666,89.9,0.5,15,3
7,5,100,40,16,89.82,89.79666666666667,89.72666666666666,89.72,0.25,15,3
2,5,100,30,1024,95.30999999999999,94.57,91.23,89.68,1.0,15,3
6,2,100,40,1000,96.35000000000001,92.86,90.42,90.42,1.0,1,1
8,5,100,80,32,90.27,90.25999999999999,90.25999999999999,90.25999999999999,0.25,15,3
3,2,100,10,4096,95.67,91.67999999999999,91.02,89.9,1.0,15,3
3,5,100,30,5000,95.23,93.47999999999999,90.58,89.9,1.0,15,3
2,1,100,10,2048,94.83,91.44666666666666,91.01333333333334,89.68,0.5,15,3
3,2,100,30,2048,95.09,92.41,90.61,89.9,1.0,15,3
4,5,100,30,2048,95.37,92.81,90.53,90.18,1.0,15,3
0,5,100,100,7000,98.1,91.23,90.2,90.2,1.0,1,1
2,10,100,20,2048,95.63000000000001,94.64,92.11,89.68,1.0,15,3
3,2,100,30,2048,95.17,92.47,90.51,89.9,1.0,15,3
1,1,100,40,5000,97.66,88.64999999999999,88.64999999999999,88.64999999999999,1.0,1,1
3,3,100,20,4096,95.57,92.74,91.16,89.9,1.0,15,3
9,5,100,40,5000,93.0,92.52,89.91,89.91,1.0,15,3
3,2,100,10,4096,95.43,91.85,90.72,89.9,1.0,15,3
4,3,100,30,2048,95.11,92.78999999999999,90.59,90.18,1.0,15,3
6,5,100,10,5000,97.07000000000001,92.95,90.42,90.42,1.0,15,3
2,5,100,30,5958,95.1,94.12,90.58333333333334,89.68,0.5,3,3
2,5,100,30,512,94.26333333333334,93.63,90.33333333333333,89.68,0.5,15,3
7,5,100,40,5000,96.81,95.24000000000001,89.96,89.72,1.0,15,3
4,8,100,30,1024,94.15333333333334,91.91,90.36333333333333,90.18,0.5,15,3
1,5,100,80,16,92.60000000000001,88.64999999999999,88.64999999999999,88.64999999999999,0.5,15,3
7,5,100,20,64,93.66666666666667,91.51,90.38666666666667,89.72,0.5,15,3
2,3,100,20,1024,95.32000000000001,94.3,91.81,89.68,1.0,15,3
2,3,100,30,2048,95.16333333333333,93.91000000000001,90.55,89.68,0.5,15,3
8,5,100,50,7000,92.58999999999999,90.97,90.25999999999999,90.25999999999999,1.0,1,1
5,5,100,100,7000,93.25,91.96,91.08000000000001,91.08000000000001,1.0,1,1
1,2,100,60,1024,97.59333333333333,88.64999999999999,88.64999999999999,88.64999999999999,0.5,15,3
1,5,100,50,5000,98.19,94.76,88.64999999999999,88.64999999999999,1.0,15,3
4,5,100,20,128,93.83,91.06,90.85,90.18,1.0,15,3
9,5,100,30,5000,93.42,91.41,89.91,89.91,1.0,15,3
8,3,100,40,1024,92.44333333333333,90.44666666666666,90.25999999999999,90.25999999999999,0.75,15,3
0,1,100,30,1024,97.63,90.2,90.24,90.2,1.0,15,3
2,5,100,10,32,91.77,90.85666666666667,90.41666666666667,89.68,0.5,15,3
0,5,100,40,7000,97.68,93.39,90.31,90.2,1.0,1,1
4,5,100,60,5000,95.35,92.22,90.18,90.18,1.0,15,3
7,8,100,10,2048,97.25,93.57,91.0,89.72,1.0,15,3
0,2,100,20,64,96.11,90.36999999999999,90.2,90.2,0.75,15,3
8,5,100,100,7000,93.23,90.45,90.25999999999999,90.25999999999999,1.0,1,1
2,5,100,30,1024,94.63000000000001,94.05,90.48333333333333,89.68,0.5,15,3
7,5,100,80,7000,97.09,93.86,89.73,89.72,1.0,1,1
5,5,100,40,5000,94.17999999999999,92.74,91.09,91.08000000000001,1.0,15,3
3,5,100,10,256,95.07,90.49000000000001,90.8,89.9,1.0,15,3
7,5,100,50,5000,96.86,95.43,89.73,89.72,1.0,15,3
1,5,100,40,5000,97.94,92.60000000000001,88.64999999999999,88.64999999999999,1.0,15,3
2,5,100,30,4096,95.47,95.24000000000001,90.91,89.68,1.0,15,3
3,10,100,10,4096,95.47,92.36999999999999,91.23,89.9,1.0,15,3
7,5,100,20,32,92.47333333333333,90.45333333333333,90.31666666666666,89.72,0.5,15,3
2,5,100,20,256,93.74,93.24,91.18333333333334,89.68,0.5,15,3
2,1,100,30,2048,95.02666666666667,91.33,90.52666666666667,89.68,0.5,15,3
6,5,100,100,7000,97.0,92.57,90.42,90.42,1.0,1,1
3,2,100,20,1024,94.48333333333333,91.28,90.46,89.9,0.5,15,3
6,5,100,20,5000,96.89999999999999,94.39,90.42,90.42,1.0,15,3
7,5,100,50,7000,96.78,94.93,89.73,89.72,1.0,1,1
